Ref Des,Qty,Mfr,Mfr Part,Description,Vendor,Vendor Part
"C1,2",2,Kemet,C0603C270J5GACTU,CAP CER 27PF 50V 5% NP0 0603,Digi-Key,399-1054-1-ND
"C3,4",2,Murata,GRM188F51C105ZA01D,CAP CER 1UF 16V Y5V 0603,Digi-Key,490-1582-1-ND
"C5,6",2,Murata,GRM188F51C104ZA01D,CAP CER .1UF 16V Y5V 0603,Digi-Key,490-1577-1-ND
"C7,8",,,,do not populate,,
F1,1,Bourns,MF-NSMF050-2,PTC RESETTABLE .50A 13.2V 1206,Digi-Key,MF-NSMF050-2TR-ND
FB1,1,TDK,MPZ1608S601A,FERRITE CHIP BEAD 600 OHM SMD,Digi-Key,445-2205-1-ND
J1,1,On Shore Technology,USB-B1KSW6,CONN USB TYPE B VERTICAL WHITE,Digi-Key,ED2980-ND
J2,1,,,2 x 8 0.1” header,,
J3,1,,,1 x 3 0.1” header,,
J4,1,,,2 x 3 0.1” header,,
J6,1,,,2 x 3 0.1” header,,
"R1,2",2,Yageo,RC0603JR-0722RL,RES 22 OHM 1/10W 5% 0603 SMD,Digi-Key,311-22GRCT-ND
R9,1,Yageo,RC0603FR-0710KL,RES 10.0K OHM 1/10W 1% 0603 SMD,Digi-Key,311-10.0KHRCT-ND
U1,1,Atmel,AT90USB162-16AU,MCU AVR USB 16K FLASH 32-TQFP,Digi-Key,AT90USB162-16AU-ND
X1,1,Abracon,ABLS-16.000MHZ-B2-T,CRYSTAL 16.000MHZ 18PF SMD,Digi-Key,535-9071-1-ND